score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
17090.000000;156;113;150.323323;96.528529
17873.000000;156;109;151.403403;99.579580
17313.000000;150;108;145.440440;95.251251
15539.000000;160;107;156.331331;98.173173
18697.000000;145;113;139.446446;93.924925
17533.000000;158;113;153.816817;99.404404
18295.000000;155;121;149.106106;97.722723
16437.000000;153;112;150.257257;95.124124
17353.000000;157;103;151.856857;94.678679
17385.000000;155;108;148.639640;96.372372
17515.000000;148;100;144.406406;92.987988
16836.000000;154;108;150.556557;95.565566
16472.000000;161;121;156.244244;100.503504
17314.000000;154;101;152.585586;99.600601
17657.000000;158;108;151.649650;97.533534
10543.000000;79;51;76.249249;47.820821
18599.000000;150;110;147.035035;99.840841
11300.000000;99;64;95.525526;60.497497
18358.000000;154;112;147.324324;98.156156
17884.000000;155;109;148.588589;97.651652
17380.000000;153;107;149.940941;96.660661
16719.000000;154;106;151.804805;98.530531
16367.000000;134;93;129.870871;79.185185
17760.000000;156;114;150.703704;101.555556
16989.000000;155;110;151.645646;94.836837
17648.000000;155;114;150.174174;97.146146
17309.000000;156;111;150.981982;99.077077
17502.000000;151;107;145.719720;93.615616
17530.000000;158;110;152.781782;99.031031
18111.000000;157;113;149.979980;99.283283
16662.000000;153;101;151.574575;95.744745
16538.000000;158;109;152.531532;96.145145
16682.000000;155;100;151.449449;92.609610
17036.000000;131;103;127.821822;84.337337
16963.000000;143;105;140.598599;91.442442
19141.000000;154;122;146.525526;101.246246
17090.000000;150;98;149.096096;94.788789
17349.000000;145;106;142.819820;94.294294
16052.000000;159;106;153.546547;95.453453
15469.000000;153;91;148.952953;87.631632
18740.000000;159;122;153.471471;103.925926
16376.000000;153;111;151.467467;96.489489
17414.000000;153;95;149.447447;94.423423
18084.000000;155;109;150.230230;101.240240
9921.000000;74;45;71.467467;41.508509
16535.000000;157;110;153.332332;95.900901
16673.000000;152;96;148.841842;91.522523
17366.000000;150;106;147.934935;95.849850
16445.000000;156;112;151.046046;96.860861
16460.000000;149;102;146.152152;90.034034
17045.000000;154;95;149.913914;94.355355
16928.000000;153;103;148.697698;93.359359
17067.000000;155;101;151.842843;96.887888
17973.000000;155;110;150.685686;101.195195
17158.000000;149;106;145.851852;96.404404
18657.000000;155;115;148.871872;99.083083
7788.000000;68;39;68.409409;38.819820
17802.000000;160;123;153.686687;100.460460
17224.000000;156;109;152.705706;99.800801
17524.000000;159;115;152.890891;97.859860
17583.000000;156;109;148.261261;95.349349
16888.000000;158;122;154.202202;102.049049
17184.000000;157;107;150.450450;93.959960
17221.000000;150;101;146.449449;92.534535
17898.000000;149;107;143.792793;93.469469
10066.000000;79;50;76.225225;47.175175
17075.000000;156;108;153.387387;98.402402
17406.000000;152;109;149.392392;97.943944
17142.000000;158;120;152.106106;101.552553
17690.000000;154;117;149.361361;99.282282
