score;sim_to_best_vertices;sim_to_best_edges;avg_sim_others_vertices;avg_sim_others_edges
6572.000000;143;103;134.201201;89.048048
3475.000000;146;93;139.988989;86.053053
4176.000000;82;64;79.832833;54.104104
5269.000000;120;72;121.879880;75.214214
5403.000000;130;86;128.426426;83.235235
6665.000000;146;104;139.380380;93.617618
5065.000000;137;88;133.149149;84.350350
4997.000000;144;95;137.848849;85.761762
5787.000000;115;74;111.267267;71.601602
6488.000000;139;106;134.342342;91.515516
5799.000000;138;92;131.681682;85.897898
4028.000000;82;48;80.819820;48.667668
4892.000000;141;94;138.284284;89.936937
5382.000000;139;98;134.303303;89.582583
4666.000000;142;91;140.012012;89.663664
3844.000000;73;58;70.061061;44.881882
5888.000000;136;95;129.762763;85.773774
5431.000000;142;98;136.698699;87.882883
6482.000000;142;108;135.831832;91.237237
5900.000000;142;103;135.335335;86.938939
6038.000000;145;109;138.042042;94.048048
6108.000000;126;97;119.977978;78.562563
4658.000000;143;95;135.807808;81.156156
4837.000000;129;81;125.473473;78.715716
5241.000000;145;100;137.937938;88.563564
5125.000000;145;101;140.810811;92.381381
6355.000000;145;102;139.921922;94.295295
5845.000000;146;106;140.626627;93.826827
6601.000000;138;101;132.206206;88.659660
5380.000000;116;86;112.955956;73.992993
6719.000000;130;100;125.874875;83.891892
6224.000000;147;102;140.800801;92.545546
5510.000000;144;100;138.822823;94.260260
4945.000000;144;92;139.002002;89.168168
4573.000000;89;70;86.752753;54.276276
7184.000000;146;110;137.274274;93.143143
6137.000000;143;105;135.444444;89.355355
5973.000000;134;84;130.522523;83.855856
6040.000000;145;108;136.915916;90.476476
6026.000000;143;88;140.166166;89.650651
3034.000000;74;50;73.106106;43.422422
6079.000000;141;99;134.371371;87.362362
5563.000000;141;93;137.181181;90.374374
6281.000000;145;102;138.891892;92.859860
6126.000000;144;94;136.788789;89.279279
5612.000000;138;99;130.019019;83.849850
6214.000000;131;91;128.600601;84.398398
6038.000000;145;103;138.542543;93.111111
6748.000000;145;114;133.793794;91.002002
4996.000000;140;95;136.905906;87.881882
6308.000000;151;115;141.622623;93.829830
6461.000000;150;114;140.721722;96.436436
5891.000000;143;96;133.997998;87.381381
6368.000000;140;87;136.054054;89.486486
6524.000000;144;107;135.718719;91.052052
6978.000000;128;99;119.795796;79.528529
5413.000000;128;89;124.694695;77.296296
6119.000000;132;92;129.038038;83.944945
5113.000000;136;94;133.046046;86.595596
6841.000000;148;111;138.572573;92.940941
6599.000000;144;105;135.978979;92.620621
4923.000000;147;107;138.007007;89.702703
5911.000000;142;91;138.724725;90.194194
5615.000000;149;103;141.995996;92.659660
6064.000000;123;80;121.153153;76.648649
4988.000000;139;83;137.746747;85.178178
6268.000000;135;97;133.465465;85.653654
4114.000000;146;96;138.889890;85.941942
6905.000000;130;101;123.709710;83.897898
6045.000000;145;98;140.221221;92.171171
5313.000000;140;90;135.170170;86.130130
4961.000000;146;101;138.192192;87.051051
6007.000000;147;105;137.494494;89.522523
6304.000000;143;96;137.208208;90.831832
4956.000000;143;94;138.795796;89.367367
5251.000000;145;95;136.631632;85.936937
5993.000000;146;103;139.966967;94.091091
5218.000000;136;99;131.268268;87.223223
5776.000000;146;108;138.613614;93.237237
5661.000000;146;105;137.583584;86.995996
6135.000000;137;94;130.144144;84.696697
6669.000000;142;99;138.900901;92.500501
5786.000000;140;94;135.394394;87.215215
